tanggal,deskripsi_transaksi,kategori,nominal
2024-02-02,order pupuk meroke mutiara,Belanja,26000.0
2023-03-29,nyicil disney c01 tws,Belanja,75000.0
2023-12-18,dokter gigi,Kesehatan,454000.0
2023-01-27,checkout tokopedia,Belanja,153000.0
2023-09-10,pre-workout,Kesehatan,55000.0
2023-04-20,admin bri,Lain-lain,82000.0
2024-02-01,order philipe ricci jam tangan,Belanja,76630.0
2023-06-27,beli lomira lip serum,Belanja,14900.0
2024-05-27,checkout gelang mutiara air tawar,Belanja,125000.0
2023-03-24,biaya rumah sakit,Kesehatan,64000.0
2023-11-29,donasi kitabisa,Lain-lain,490000.0
2023-11-16,jajan hemat a (burger,Konsumsi,93000.0
2022-12-30,chicken cordon bleu,Konsumsi,81000.0
2024-04-04,checkout powerbank robot rt180s 10000,Belanja,115000.0
2023-03-22,langganan chatgpt,Hiburan,121000.0
2023-03-05,cicilan motor,Tagihan,416000.0
2023-09-29,jajan ketoprak,Konsumsi,147000.0
2023-02-20,order snack geli chips,Belanja,17000.0
2023-05-11,beli promo 2,Konsumsi,103000.0
2023-02-18,checkout sorban panjang terbaru,Belanja,56900.0
2023-11-03,checkout stroller baby lipat 3,Belanja,629000.0
2023-11-30,beli bolero batik tunik,Belanja,89900.0
2024-12-21,checkout kompor gas portable,Belanja,179000.0
2023-09-24,paket data xl,Tagihan,862000.0
2023-06-26,iuran sampah,Tagihan,389000.0
2024-04-29,beli florence paket 1 bantal,Belanja,357000.0
2023-03-15,checkout wallpaper dinding polos,Belanja,141000.0
2023-08-13,shopeefood chatime,Konsumsi,50000.0
2023-05-30,shopeefood hokben,Konsumsi,67000.0
2023-04-26,beli kunci stang komstir,Belanja,161200.0
2023-09-30,nyicil sorban kashmiri motif,Belanja,90000.0
2024-10-02,songkok peci bhs masterpiece,Belanja,370000.0
2024-07-20,order korek api crockie,Belanja,37900.0
2023-02-20,topup flazz,Transportasi,122000.0
2023-12-29,makan pizza hut,Konsumsi,52000.0
2023-05-23,jajan promo mei,Konsumsi,124000.0
2024-03-21,shopeefood jco,Konsumsi,211000.0
2022-06-14,grabfood ala 8,Konsumsi,42000.0
2024-05-23,order tekiro promo kunci,Belanja,100000.0
2024-07-10,checkout helm bogo retro,Belanja,224900.0
2023-08-29,nyicil termos kopi travel stainless,Belanja,52000.0
2024-09-24,nyicil kripik usus ayam /,Belanja,34999.0
2023-10-14,checkout indomaret,Belanja,256000.0
2020-05-02,pesen buy 1,Konsumsi,28000.0
2024-02-01,wardah eyexpert the,Belanja,82110.0
2024-01-31,order kodomo sikat gigi flexy,Belanja,24700.0
2022-10-22,jajan special yamie,Konsumsi,134000.0
2023-05-27,binance coin,Investasi,304000.0
2023-04-14,shopeefood kantin kampus,Konsumsi,219000.0
2023-07-18,beli sprei set motif,Belanja,160000.0
2023-11-27,ongkir grabexpress,Lain-lain,471000.0
2023-10-12,order karpet kids edukasi rute,Belanja,140000.0
2024-12-04,denda telat bayar,Lain-lain,282000.0
2024-04-29,topup shopeepay,Lain-lain,223000.0
2020-07-23,grabfood sate klatak kambing,Konsumsi,100000.0
2023-12-13,beli highest jaket hoodie,Belanja,335000.0
2019-10-22,gofood bubur ayam,Konsumsi,122000.0
2023-10-30,beli [diskon 50%] miniso,Belanja,97900.0
2024-01-31,nyicil batu akik bungur tanjung,Belanja,99000.0
2024-12-24,checkout dear me beauty serum,Belanja,36750.0
2023-09-02,grabfood yammie pangsit ayam,Konsumsi,79000.0
2024-04-08,minyak telon,Kesehatan,192000.0
2024-09-30,beli kaos unfinished pria premium/kaos,Belanja,35900.0
2023-10-17,iuran keamanan,Tagihan,478000.0
2022-10-05,jajan seliter kenangan,Konsumsi,37000.0
2023-05-15,belanja di mr diy,Belanja,67000.0
2023-11-20,ayam crispy,Konsumsi,38000.0
2021-02-09,grabfood nasi sop,Konsumsi,38000.0
2024-09-19,plastik case klip,Belanja,1250.0
2023-09-07,beli sop daging,Konsumsi,140000.0
2024-07-08,lotus archi gold minted,Belanja,387000.0
2023-05-14,handuk kimono mandi anak,Belanja,89000.0
2023-01-19,order kemeja wanita kain,Belanja,49500.0
2023-11-19,grabfood chicken pokpok sambal,Konsumsi,61000.0
2023-03-27,voucher game,Hiburan,456000.0
2024-02-14,member gym,Kesehatan,186000.0
2024-05-05,beli keset kaki handmade murah,Belanja,11450.0
2024-01-21,checkout clean matic - curve,Belanja,57500.0
2024-08-26,checkout promo murah sleepmax paket,Belanja,81799.0
2024-03-13,mcd,Konsumsi,208000.0
2024-07-04,sajadah travel lipat pockatable,Belanja,98880.0
2024-10-06,beli bonsai aquascape + moss,Belanja,65000.0
2022-05-02,beli pak geprek matah,Konsumsi,125000.0
2019-10-10,medium +,Konsumsi,128000.0
2023-04-12,beli dada geprek,Konsumsi,46000.0
2024-09-16,beli figure one piece,Belanja,190000.0
2023-07-08,cuci motor,Transportasi,45000.0
2023-09-23,tahu coklat,Belanja,1000.0
2023-07-03,beli pisau dapur,Belanja,610000.0
2023-07-08,jajan nasi uduk super,Konsumsi,116000.0
2023-03-06,topup flazz,Transportasi,190000.0
2023-12-09,nyicil [lisa quincy x yesplus],Belanja,76900.0
2024-11-09,nyicil makarizo t1 techno,Belanja,45000.0
2023-05-11,checkout the originote glyco-niacin peeling,Belanja,48000.0
2023-07-09,pashmina viscose printed -,Belanja,198990.0
2023-11-23,grabfood mozzarella cheeseburger,Konsumsi,86000.0
2023-06-02,nyicil prestone brake fluid,Belanja,42000.0
2023-06-26,topup valorant,Hiburan,181000.0
2024-04-02,photobox,Hiburan,431000.0
2024-12-26,checkout kursi gaming murah/kursi gaming/kerja,Belanja,699000.0
2024-02-20,iuran rt,Tagihan,189000.0
2024-04-25,kasih tukang parkir,Lain-lain,355000.0
2024-02-03,order tripod bluetooth jete,Belanja,415900.0
2023-11-23,bento premium ayam,Konsumsi,80000.0
2023-06-28,order kantong plastik kresek pe,Belanja,9470.0
2019-10-02,beli panas 1 spicy,Konsumsi,46000.0
2024-01-08,pulsa telkomsel,Tagihan,596000.0
2023-03-10,beli wakakids payung transparan,Belanja,26900.0
2023-06-11,ipl apartemen,Tempat Tinggal,892000.0
2022-09-29,jajan sushi okemura,Konsumsi,65000.0
2023-08-24,nyicil fantech g13 rhasta,Belanja,99000.0
2020-03-20,grabfood salad bar,Konsumsi,106000.0
2021-10-28,rendang sapi,Konsumsi,149000.0
2024-05-25,nyicil akar kayu bajakah,Belanja,40500.0
2024-03-28,beli materai,Lain-lain,92000.0
2024-10-20,beli masker penutup muka motor,Belanja,23700.0
2024-01-21,beli paket upgrade lampu daymaker,Belanja,600000.0
2024-11-25,order paket keset dapur anti,Belanja,156400.0
2023-07-31,order lenovo xt85 ii,Belanja,139000.0
2023-10-22,beli 100% ori jbl wave,Belanja,349000.0
2024-01-08,topup flazz,Transportasi,25000.0
2024-11-06,beli lampu tidur/lampu dinding hias/lampu,Belanja,388000.0
2024-03-01,jajan mie ayam,Konsumsi,119000.0
2021-04-20,jajan konzatsu 1,Konsumsi,147000.0
2022-08-07,beli nasi ayam,Konsumsi,135000.0
2022-07-08,jajan 23 pcs tahu,Konsumsi,71000.0
2024-04-18,nyicil meja makan / restoran,Belanja,450000.0
2024-03-23,sumbangan pengamen,Lain-lain,233000.0
2020-05-30,jajan mentaai rice chicken,Konsumsi,68000.0
2023-08-29,tol jakarta,Transportasi,202000.0
2023-04-12,karaoke,Hiburan,478000.0
2023-02-05,order nyk furion k-04/k04 tkl,Belanja,137000.0
2023-01-09,topup shopeepay,Lain-lain,336000.0
2024-01-19,cuci mobil,Transportasi,93000.0
2023-09-25,saham goto,Investasi,479000.0
2023-12-01,photobox,Hiburan,28000.0
2023-10-09,order adaptor dvr hikvision,Belanja,150000.0
2019-11-18,jajan mie ayam bakso,Konsumsi,30000.0
2024-01-28,paket data xl,Tagihan,790000.0
2023-11-21,pesen medium isi gurita,Konsumsi,101000.0
2023-10-06,checkout neso troli roda,Belanja,108900.0
2023-12-23,sarung tangan,Belanja,930000.0
2023-05-17,google one,Tagihan,452000.0
2023-06-05,jajan small beef cheese,Konsumsi,34000.0
2023-01-20,pesen nasi rendang,Konsumsi,78000.0
2024-01-05,regulator las gas oksigen,Belanja,125120.0
2024-04-09,voucher game,Hiburan,384000.0
2024-02-23,tiket busway,Transportasi,198000.0
2023-03-09,ojol ke gym,Transportasi,10000.0
2024-10-17,beli stator 6016 - 6301,Belanja,321000.0
2023-06-12,saham tlkm,Investasi,557000.0
2023-11-10,topup flazz,Transportasi,181000.0
2024-03-06,maxim ke stasiun mrt,Transportasi,149000.0
2023-07-13,uang air kos,Tempat Tinggal,923000.0
2022-06-11,beli ayam fillet krispi,Konsumsi,91000.0
2022-04-11,grabfood paket ayam,Konsumsi,113000.0
2024-08-22,nyicil celemek plastik masak anti,Belanja,5500.0
2024-08-28,dove sensitive skin,Belanja,115000.0
2024-10-07,nabnib - velina pashmina,Belanja,129000.0
2024-02-19,nyicil vention dash power pro,Belanja,430000.0
2020-09-20,jajan combo fire,Konsumsi,79000.0
2020-10-14,beli sapo tahu,Konsumsi,29000.0
2023-01-16,jajan double cheese burger,Konsumsi,129000.0
2023-08-14,nyicil kk320 kaos kaki wanita,Belanja,8000.0
2022-06-15,jajan capcay rebus,Konsumsi,146000.0
2023-08-06,iuran sampah,Tagihan,698000.0
2024-07-21,checkout minyak tropical 1,Belanja,26000.0
2023-08-19,order charger laptop hp 19.5v,Belanja,60000.0
2023-11-15,tol cipularang,Transportasi,161000.0
2024-09-08,checkout spar.co diy charm,Belanja,49999.0
2023-06-17,nongkrong di soto lamongan,Konsumsi,219000.0
2024-05-19,beli purbasari hi matte,Belanja,35500.0
2024-07-08,nyicil meja lipat jualan portable,Belanja,481000.0
2023-02-12,sumbangan 17an,Lain-lain,150000.0
2023-06-10,solana,Investasi,820000.0
2024-11-06,laiv list siku,Belanja,109000.0
2020-06-21,gofood mie angel,Konsumsi,108000.0
2023-11-01,ipl apartemen,Tempat Tinggal,1003000.0
2023-04-01,nyicil lego 52324 movie,Belanja,65000.0
2024-03-28,checkout shopee,Belanja,444000.0
2023-09-28,order black shark power bank,Belanja,399000.0
2024-11-01,iron gym alat,Belanja,164500.0
2023-06-21,tiket lrt,Transportasi,24000.0
2023-01-13,beli pelindung muka masker polar,Belanja,9500.0
2021-08-28,grabfood nasi + lele,Konsumsi,64000.0
2023-10-03,promo baru launching,Belanja,108799.0
2024-01-17,celana panjang cargo,Belanja,95800.0
2024-05-04,order karet filter udara karburator,Belanja,14000.0
2023-04-18,order [calista] toples disney odate,Belanja,18976.0
2023-03-28,ca kangkung,Konsumsi,115000.0
2023-06-07,beli kaos kaki lucu bulu,Belanja,22800.0
2023-01-29,jajan nasi lele,Konsumsi,78000.0
2024-03-13,voucher game,Hiburan,263000.0
2023-08-26,hoodie,Belanja,217000.0
2024-03-23,langganan icloud,Tagihan,367000.0
2024-12-18,"nyicil tas laptop/notebook hp,",Belanja,31000.0
2024-04-18,belanja di blibli,Belanja,158000.0
2023-01-27,order orico bta-403 usb,Belanja,63000.0
2023-11-22,yamie polos,Konsumsi,42000.0
2022-08-20,grabfood nasi telur kulit,Konsumsi,18000.0
2023-07-14,langganan wetv,Hiburan,166000.0
2023-02-04,skincare,Belanja,731000.0
2023-11-11,paket data indihome,Tagihan,274000.0
2023-12-25,beli jeans baggy wide,Belanja,154154.0
2022-06-19,grabfood buy 1 get,Konsumsi,30000.0
2022-02-20,pesen paket hematcuyy,Konsumsi,76000.0
2024-07-25,order topi rimba hat,Belanja,17500.0
2023-02-27,skeling gigi,Kesehatan,426000.0
2023-11-09,grabfood mangolicious,Konsumsi,121000.0
2024-05-10,beli somethinc diamond glow,Belanja,168900.0
2024-10-17,basreng pedas / keripik,Belanja,19999.0
2023-05-20,uang sampah kos,Tempat Tinggal,728000.0
2024-03-21,checkout [500ml] kihiko body,Belanja,14900.0
2023-07-15,voucher game,Hiburan,293000.0
2023-10-22,beli filter kabin honda freed,Belanja,30000.0
2024-04-27,order digap kuas roll cat,Belanja,146000.0
2022-12-16,pesen hemat berdua,Konsumsi,124000.0
2024-04-16,cuci cetak foto,Lain-lain,387000.0
2020-01-07,nasi telur,Konsumsi,94000.0
2023-06-02,benang rajut katun,Belanja,9702.0
2024-05-06,order sportcam kogan 4k non,Belanja,525000.0
2023-08-26,celana jeans pria reguler,Belanja,99000.0
2024-06-10,order jepit tiptop besar,Belanja,5500.0
2019-12-25,paket mie,Konsumsi,61000.0
2024-04-24,checkout tiktok shop,Belanja,156000.0
2024-05-21,nyicil [popbela best setting spray,Belanja,41500.0
2023-05-07,byr wifi myrepublic,Tagihan,83000.0
2023-09-05,beli teiera gelas teh,Belanja,65000.0
2024-03-12,order sarung bantal 45,Belanja,108000.0
2024-10-06,order burger patty wagyu,Belanja,110000.0
2024-02-04,huaiwen gaming keyboard,Belanja,149999.0
2023-03-27,main bowling,Hiburan,312000.0
2022-11-09,jajan lucky sundae,Konsumsi,62000.0
2024-05-04,bensin dexlite,Transportasi,87000.0
2023-04-05,topup linkaja,Lain-lain,360000.0
2024-03-24,laundry sepatu,Tempat Tinggal,260000.0
2024-05-13,mechanical feel keyboard,Belanja,125800.0
2023-04-12,iuran keamanan,Tagihan,358000.0
2023-06-01,rose brand gula,Belanja,21200.0
2024-03-26,nyicil dkmart express sayur kangkung,Belanja,5500.0
2022-03-03,jajan potato fries and,Konsumsi,114000.0
2023-05-31,main bowling,Hiburan,259000.0
2023-11-14,pesen nasi + cumi,Konsumsi,15000.0
2023-10-24,jajan mie babi,Konsumsi,115000.0
2024-08-17,winn gas kompor 2,Belanja,649000.0
2023-09-09,iuran keamanan,Tagihan,585000.0
2021-11-15,yelo sandey,Konsumsi,132000.0
2023-05-11,order mainan edukasi kinetic,Belanja,45000.0
2024-02-13,topup linkaja,Lain-lain,379000.0
2023-06-14,cicilan motor,Tagihan,584000.0
2023-07-24,cardano,Investasi,376000.0
2023-07-29,nyicil jubah set topi halloween,Belanja,119900.0
2024-07-27,celana pendek pria,Belanja,295000.0
2022-04-11,beef ramen,Konsumsi,70000.0
2023-04-12,pesen nasi +,Konsumsi,97000.0
2024-07-20,neighborwood bandana for pets,Belanja,39000.0
2023-10-30,langganan chatgpt,Hiburan,168000.0
2023-01-26,jajan bubur ayam,Konsumsi,104000.0
2024-08-17,checkout sayurhd buncis 100 gram,Belanja,4000.0
2024-03-16,tebus resep,Kesehatan,177000.0
2024-12-26,buku novel terbaru,Belanja,81962.0
2024-03-09,nyicil hairluxlab vitaluxe 3 in,Belanja,129000.0
2024-09-19,[spesial diskon] pakeankulo,Belanja,196350.0
2024-12-16,checkout jersey persib bandung,Belanja,59999.0
2024-08-10,checkout termurah - raw food,Belanja,15000.0
2023-05-08,order red-a matte lip,Belanja,39188.0
2024-01-09,donasi kitabisa,Lain-lain,408000.0
2024-02-27,beli kabel bintik avs otomotif,Belanja,4900.0
2023-03-27,kapas,Kesehatan,317000.0
2024-08-17,rayxran denim pants,Belanja,200000.0
2023-05-03,trombozzo - sarung bantal,Belanja,22080.0
2024-03-30,iuran sampah,Tagihan,605000.0
2023-11-03,jajan ori combo 2,Konsumsi,87000.0
2023-12-20,rk mouse bluetooth bisa,Belanja,29900.0
2023-02-03,apron hijau starbucks,Belanja,37000.0
2024-12-31,nyicil masker wajah facial mask,Belanja,1300.0
2024-02-02,tagihan kartu kredit,Tagihan,903000.0
2023-06-30,tiket busway,Transportasi,198000.0
2023-02-15,rawon,Konsumsi,35000.0
2022-12-04,beli paket geprek 3,Konsumsi,132000.0
2023-08-02,sumbangan 17an,Lain-lain,17000.0
2024-03-20,order nuvo sabun cair,Belanja,28800.0
2023-06-05,belanja di ikea,Belanja,245000.0
2023-08-28,tol jakarta,Transportasi,190000.0
2023-02-02,denda kos,Tempat Tinggal,460000.0
2024-05-27,order pulse oximeter oxyone onemed,Belanja,331000.0
2023-08-16,pesen beef blackpepper rice,Konsumsi,24000.0
2024-06-01,order tripod portable mini,Belanja,16400.0
2023-10-24,bubur ayam,Konsumsi,230000.0
2023-05-13,shopeefood kopi kulo,Konsumsi,90000.0
2023-07-12,order tebus murah handuk mandi,Belanja,179900.0
2024-11-15,nyicil outer lowo bolak balik,Belanja,75000.0
2023-01-28,nyicil mah indonesia tote bag,Belanja,474050.0
2023-03-24,suu balm head-to-toe kids,Belanja,313600.0
2020-05-01,beli salted egg chicken,Konsumsi,60000.0
2023-10-22,laundry kiloan,Tempat Tinggal,889000.0
2023-03-15,helm bogo cg,Belanja,109900.0
2023-05-13,checkout weidenmann rocket 02 sepatu,Belanja,650000.0
2022-06-30,grabfood large 450ml,Konsumsi,120000.0
2024-01-14,nyicil [4 ball] softex gravity,Belanja,51668.0
2024-01-04,stand fan 16,Belanja,225900.0
2024-06-08,nyicil buku hard cover,Belanja,8150.0
2023-03-01,nyicil [back to school],Belanja,188000.0
2023-02-18,pesen mie gacoan,Konsumsi,58000.0
2024-10-15,checkout seiken brake fluid dot,Belanja,27650.0
2023-01-17,google one,Tagihan,423000.0
2019-12-05,seblak garut spesial,Konsumsi,120000.0
2023-05-26,minyak telon,Kesehatan,112000.0
2023-11-25,iuran sampah,Tagihan,440000.0
2023-09-24,parkir rumah ortu,Transportasi,92000.0
2023-07-27,grab dari rumah pacar,Transportasi,216000.0
2023-11-02,bli raket,Kesehatan,263000.0
2024-02-21,topup stockbit,Investasi,217000.0
2024-06-07,beli solid pemantik korek,Belanja,7000.0
2024-12-31,beli kursi tamu /,Belanja,634060.0
2023-04-18,order kembang api kawat,Belanja,6000.0
2024-06-11,keyboard hp k500y,Belanja,155000.0
2024-06-06,checkout kompor gas 1 (,Belanja,185000.0
2024-09-08,checkout ugreen kabel lan rj45,Belanja,17000.0
2023-01-12,iuran kematian,Lain-lain,53000.0
2024-12-12,beli sorban kashmiri camel,Belanja,349000.0
2023-04-16,sikat gigi formula isi,Belanja,7888.0
2023-03-29,langganan disney+,Hiburan,54000.0
2021-02-20,jajan ketoprak biasa,Konsumsi,143000.0
2024-09-19,order wallpaper dinding motif salur,Belanja,27244.0
2023-05-14,admin bri,Lain-lain,434000.0
2023-06-27,nyicil 109 pillow -,Belanja,34636.0
2024-10-27,beli single hook /,Belanja,4900.0
2024-02-23,topup dana,Lain-lain,214000.0
2022-02-03,beli paket bebek jumbo,Konsumsi,61000.0
2024-02-17,konsul halodoc,Kesehatan,20000.0
2024-01-31,nyicil meja tamu minimalis model,Belanja,69000.0
2023-01-01,kalung tambang titanium pria,Belanja,28000.0
2023-11-23,pesen original ramen -,Konsumsi,72000.0
2023-11-06,belanja di tiktok shop,Belanja,18000.0
2023-04-18,iuran sampah,Tagihan,552000.0
2024-09-26,nyicil lmb tas anak sekolah,Belanja,189899.0
2023-07-03,topup flazz,Transportasi,90000.0
2023-11-21,jajan taliwang besar plus,Konsumsi,95000.0
2024-04-22,pulsa indihome,Tagihan,946000.0
2022-11-21,pesen nasgor sosis dan,Konsumsi,50000.0
2021-07-29,jajan tahu gimbal,Konsumsi,124000.0
2023-02-26,order basreng pedas daun,Belanja,28000.0
2024-03-20,ongkir grabexpress,Lain-lain,168000.0
2024-01-05,checkout giordani gold essenza,Belanja,329000.0
2023-11-07,martabak klasik keju,Konsumsi,48000.0
2023-09-21,beli gomuda sweater rajut,Belanja,319900.0
2023-05-23,sewa minisoccer,Kesehatan,336000.0
2023-11-17,photobox,Hiburan,50000.0
2024-06-25,checkout terry palmer luxury flavio,Belanja,183820.0
2024-10-02,beli roller blind blackout,Belanja,137514.0
2023-03-05,beli baselayer rashguard waldos stadium,Belanja,149900.0
2023-05-17,tagihan kartu kredit,Tagihan,811000.0
2024-04-01,cuci mobil,Transportasi,182000.0
2022-06-21,beli mie iblis,Konsumsi,20000.0
2024-12-03,order karburator pe 28,Belanja,89999.0
2023-06-04,langganan netflix,Hiburan,174000.0
2023-01-10,gofood bakmi gm,Konsumsi,176000.0
2023-08-03,gofood sundae original,Konsumsi,63000.0
2023-06-13,order wortel lokal (,Belanja,15000.0
2023-03-18,nongkrong di coto makassar,Konsumsi,233000.0
2024-02-17,beli hoodie zipper balaclava ninja,Belanja,93906.0
2024-03-27,jajan batagor,Konsumsi,119000.0
2023-08-21,tino tino kalung,Belanja,99000.0
2024-03-24,futsal,Kesehatan,60000.0
2023-05-03,nongkrong di ayam blenger,Konsumsi,223000.0
2023-10-29,sticky notes,Belanja,617000.0
2023-05-01,main biliar,Hiburan,332000.0
2023-11-11,panadol,Kesehatan,198000.0
2024-04-05,order karburator pe scarlet,Belanja,325000.0
2024-01-30,checkout aula f75 -,Belanja,609900.0
2023-01-21,rinnai kompor gas 2,Belanja,359000.0
2023-11-19,jajan nila bakar,Konsumsi,33000.0
2023-06-18,toples kaca kue,Belanja,361000.0
2024-03-24,nyicil tokkado disney princess,Belanja,39000.0
2023-05-25,langganan chatgpt,Hiburan,462000.0
2024-12-17,furnicrush lemari pakaian,Belanja,993000.0
2023-07-11,langganan icloud,Tagihan,345000.0
2023-07-01,isi e-money,Transportasi,15000.0
2024-02-01,konser musik,Hiburan,176000.0
2023-12-11,ganti oli,Transportasi,190000.0
2023-06-09,nyicil infarm - benih terong,Belanja,11400.0
2023-02-05,checkout polytron kitchenmate oven,Belanja,558900.0
2021-01-20,jajan kombo zuper,Konsumsi,19000.0
2023-04-24,order keyboard gaming rainbow,Belanja,66500.0
2023-04-04,pesen nasi ayam,Konsumsi,103000.0
2024-04-16,nyicil tepung beras rose brand,Belanja,21333.0
2024-03-20,checkout alfamart,Belanja,106000.0
2023-08-29,nyicil sticky notes,Belanja,892000.0
2024-03-30,ciptadent classic soft,Belanja,3400.0
2023-06-15,tiket krl,Transportasi,197000.0
2023-02-13,order gulaku gula tebu premium,Belanja,17500.0
2024-06-26,nyicil mylkflow asi booster rich,Belanja,68000.0
2024-11-10,checkout taplak meja panjang polkadot,Belanja,15000.0
2024-02-24,checkout sempak wanita katun,Belanja,55300.0
2024-02-06,beli parsel buah segar,Belanja,285000.0
2022-03-13,beli gudeg dada,Konsumsi,81000.0
2023-05-09,jajan spesial komplit,Konsumsi,24000.0
2023-11-02,es /,Konsumsi,137000.0
2022-12-01,mie iblis lv,Konsumsi,129000.0
2024-04-11,checkout lantai spc flooring,Belanja,466000.0
2024-07-12,order ring gantungan kunci 25-3rantai,Belanja,395.0
2023-06-24,jajan salad buah xlarge,Konsumsi,117000.0
2022-11-30,grabfood peperoni regular,Konsumsi,107000.0
2023-04-08,betadine,Kesehatan,186000.0
2023-10-24,order wcf one piece elbaf,Belanja,158200.0
2019-12-15,nasi udang goreng,Konsumsi,79000.0
2024-03-25,tiket lrt,Transportasi,216000.0
2024-01-01,balsem cap tawon,Belanja,21500.0
2024-05-12,tiket krl,Transportasi,213000.0
2023-11-20,blok seher beat scoopy,Belanja,440000.0
2023-06-01,dumbbell,Kesehatan,354000.0
2020-12-15,nasi ayam goreng,Konsumsi,122000.0
2023-01-23,order anker 322 usb,Belanja,120000.0
2023-06-24,nyicil masker medis surgical /,Belanja,9899.0
2023-01-15,inficlo tas ransel,Belanja,158000.0
2023-10-06,grab dari minisoccer,Transportasi,160000.0
2023-03-30,nyicil omorfia lip creamy,Belanja,85000.0
2022-11-15,kunir asem,Konsumsi,48000.0
2022-11-27,gofood paket komplit endog,Konsumsi,110000.0
2023-07-10,nasi goreng,Konsumsi,86000.0
2024-08-26,order jaring rambut wigcap,Belanja,6000.0
2023-03-13,nyicil vaseline aloe soothe 400ml,Belanja,43800.0
2024-12-06,order isi 100 pc sabun,Belanja,63600.0
2021-08-03,pesen bakmi campur,Konsumsi,97000.0
2023-04-12,photobox,Hiburan,94000.0
2024-01-04,pancong,Konsumsi,43000.0
2024-02-16,grabfood tomoro coffee,Konsumsi,80000.0
2023-12-23,order cutemoslem bandana rajut chiaraa,Belanja,20000.0
2021-12-07,grabfood boba sundae,Konsumsi,26000.0
2023-06-09,cek gula darah,Kesehatan,397000.0
2023-01-21,pesen family time,Konsumsi,129000.0
2024-03-05,langganan viu,Hiburan,50000.0
2024-07-03,nyicil telur ayam negeri,Belanja,7500.0
2023-03-21,order samata tas ransel,Belanja,330600.0
2024-08-07,beli raw sugar gula,Belanja,60000.0
2022-07-24,beli paket ayam kota,Konsumsi,118000.0
2024-10-25,hijaberlin - fiore,Belanja,355500.0
2023-06-29,beli sarung gajah duduk black,Belanja,127000.0
2024-10-18,tumbler tyeso take away,Belanja,175550.0
2021-03-21,grabfood nasi paha atas,Konsumsi,76000.0
2023-05-30,kai gunting kuku kai,Belanja,115000.0
2021-11-13,beli beef truffle,Konsumsi,27000.0
2023-04-16,langganan disney+,Hiburan,358000.0
2024-02-22,beli logitech g213 prodigy,Belanja,717810.0
2024-03-29,checkout cussons baby hair,Belanja,68400.0
2023-11-16,hanger baju kawat,Belanja,17856.0
2024-12-17,nyicil amar's hena rambut hena,Belanja,19000.0
2023-05-08,nyicil le bianca axo,Belanja,151137.0
2023-11-17,jajan nasi rendang komplit,Konsumsi,18000.0
2024-06-28,nyicil sarung bantal /,Belanja,44000.0
2022-10-03,beli nasi bungkus,Konsumsi,61000.0
2023-09-25,nyicil plafon pvc glossy,Belanja,77900.0
2023-12-16,nyicil pisau dapur,Belanja,327000.0
2022-10-08,beli paket lengkap utuh,Konsumsi,90000.0
2024-08-30,timun lalap (,Belanja,7000.0
2021-12-17,beli paket ayam,Konsumsi,28000.0
2023-01-17,bli mie instan,Belanja,967000.0
2024-01-10,nyicil moisture lip serum -,Belanja,48899.0
2023-03-03,nyicil ikea fiskbo bingkai,Belanja,29900.0
2023-01-03,tws m10 headset,Belanja,39999.0
2023-05-18,ayam krispy,Konsumsi,145000.0
